n_unique_values,std_dev,max_relative_frequency,norm_entropy,min_value,max_value,range_value,shannon_entropy,simpson_index,skewness_probs,kurtosis_probs,dispersion_index,uniformity,top2_ratio,top3_ratio,variable,dataset,type
9,1.75138703805697,0.557250050699655,0.421798489170602,0,9,9,0.926786007088933,0.535626640952794,1.23229508557896,-0.343576152519881,0.397420028928107,0.421798489170602,0.948651389170554,0.967471101196512,CONMADM,SN217,N
9,1.89673613434387,0.892584780139542,0.233027355507061,0,9,9,0.512013432711778,0.200524400416412,2.06642800813298,2.60904100972985,0.774410049531536,0.233027355507061,0.930512737303261,0.95793444750933,CONPA2M,SN217,N
4,1.22043427388826,0.364082228947094,0.955400369029953,1,4,3,1.32446614419809,0.720891979212598,-0.105636660146704,-1.92466925123449,0.0388106943832031,0.955400369029953,0.637796097255557,0.873839090055306,ATEMAD2M,SN217,N
4,1.08106484913448,0.324391137154367,0.989270656608268,1,4,3,1.37142033287741,0.742191844713597,0.632881473249016,-1.77388752797103,0.0104108737152034,0.989270656608268,0.565693096502472,0.787355795641824,ATEPAD2M,SN217,N
6,0.822388929894203,0.800774375219993,0.398844078131658,1,6,5,0.714632653737933,0.343009988129517,1.31334823481058,-0.163766663386015,0.588388014244579,0.398844078131658,0.906370996128124,0.969376979936642,DIPMAD,SN217,O
6,1.0314848499705,0.707102272727273,0.528862369998824,1,6,5,0.947594159363784,0.467450566567665,1.23976157407381,-0.296322630982397,0.439059320118802,0.528862369998824,0.863920454545455,0.94375,DIPPAD,SN217,O
40,19417.2237461167,0.177383592017738,0.777403366365069,11000,93000,82000,2.86774730574311,0.920323303583113,2.13237680412489,4.8548419469715,0.0560786629916786,0.777403366365069,0.277689789884912,0.365114560236511,CODPROM,SN217,N
41,18940.1334741314,0.172087711283691,0.830886655230645,11000,93000,82000,3.0855574734619,0.932433428407038,2.69181823863489,8.46520207156349,0.0442557358827862,0.830886655230645,0.285838282320694,0.344084056646871,CODPROP,SN217,N
2,0.156504856089088,0.974876019508996,0.169315764099546,1,2,1,0.117360744509953,0.0489855321905828,0,0,0.902028935618834,0.169315764099546,1,1,GENSPO,SN217,N
104,17.4912332003655,0.0252022095087789,0.915033384387047,1874,1979,105,4.24977272285773,0.9842550199241,0.0910172768343066,-1.54606647524945,0.00618910609605388,0.915033384387047,0.0475438942592227,0.0690471493391201,MADAA,SN217,S
113,17.9640792329659,0.0228770476369799,0.905370153994281,1858,1979,121,4.28003583741828,0.984597203801179,0.228712996259106,-1.51321636887811,0.00661174973631031,0.905370153994281,0.0452363020146865,0.066842402560723,PADAA,SN217,S
7,1.86256946098645,0.226096973505079,0.971707555269768,1,7,6,1.89085559371317,0.840886906598274,0.443977250639096,-1.63253944466661,0.0189652756353465,0.971707555269768,0.422033720808462,0.578804063252697,ABIMAD,SN217,N
7,1.88793337676366,0.205420827389444,0.976420186639059,1,7,6,1.90002595092343,0.844039552219063,0.188062648066447,-1.80734744059086,0.0152871890777593,0.976420186639059,0.40413694721826,0.561340941512126,ABIPAD,SN217,N
6,1.55520773747541,0.359324507453351,0.868690207715198,1,6,5,1.55648390549939,0.755787139300697,0.422820393650474,-1.67993953454889,0.0930554328391642,0.868690207715198,0.629730011466694,0.7828625039091,VEDMAD,SN217,O
6,1.68805130360143,0.316555916866959,0.921909019382252,1,6,5,1.6518392152449,0.785289656379616,0.424993385496223,-1.76602240275392,0.0576524123444608,0.921909019382252,0.56637918846317,0.733069418917008,VEDPAD,SN217,O
6,1.60885143757544,0.423767752715121,0.80530037362005,1,6,5,1.44290457000662,0.710570590706787,0.626243990039225,-1.56287931685775,0.147315291151856,0.80530037362005,0.717940685045948,0.821428571428571,TELMAD,SN217,O
6,1.68246019031707,0.341594674975216,0.865462258007532,1,6,5,1.55070019604449,0.750973194302243,0.441036534563879,-1.92191696055644,0.0988321668373089,0.865462258007532,0.656705849029882,0.779776235660671,TELPAD,SN217,O
6,1.1098625780879,0.902850555439111,0.260200675973663,1,6,5,0.466217025075351,0.182640056046713,1.35926048905784,-0.0858938378203709,0.780831932743944,0.260200675973663,0.931880108991826,0.960490463215259,INTMAD,SN217,O
6,1.13983656466265,0.88613932198541,0.296088452502722,1,6,5,0.530519288500834,0.211858674130364,1.35932005623661,-0.0857871191491641,0.745769591043564,0.296088452502722,0.919610928336433,0.947503933628951,INTPAD,SN217,O
6,1.82462983033092,0.740431380841616,0.512131262252282,1,6,5,0.917616038628243,0.43077230377919,1.30485291126867,-0.17691454154909,0.483073235464972,0.512131262252282,0.841192641150349,0.938781983506027,MESMAD,SN217,O
6,1.82244781002955,0.703671953136162,0.576921417368597,1,6,5,1.03370441257065,0.481180041620462,1.308822871077,-0.17026946161474,0.422583950055445,0.576921417368597,0.812116016573796,0.906129447063866,MESPAD,SN217,O
3,0.732203590573078,0.612798965740142,0.839927698866711,1,3,2,0.922754891567696,0.544495695946321,0.314968749677273,-2.33333333333333,0.183256456080518,0.839927698866711,0.856496444731739,1,LIMIMAD,SN217,O
