REFYEAR,SEX,AGE,STAPRO,HWACTUAL,COEFF
2013,2,47,9,99,0.0940389137
2013,2,47,5,20,0.2587328949
2013,1,65,9,99,0.0989069756
2013,2,47,5,10,0.1124390332
2013,2,75,9,99,0.1573006826
2013,1,32,9,99,0.2903316583
2013,2,47,9,99,0.3192924978
2013,2,32,5,0,0.0672504242
2013,1,47,5,36,0.2468385848
2013,2,47,5,0,0.192652023
2013,2,65,9,99,0.3061360649
2013,2,20,9,99,0.1415532356
2013,2,7,9,99,0.0920204185
2013,2,47,5,0,0.2892171529
2013,1,75,9,99,0.0578016934
2013,1,47,5,40,0.2024560118
2013,1,75,9,99,0.1227343348
2013,2,65,9,99,0.0972867549
2013,1,47,5,40,0.2503640094
2013,1,32,0,63,0.1459628711
2013,1,32,5,40,0.2416602482
2013,1,65,9,99,0.1038512882
2013,1,7,9,99,0.1314041993
2013,1,7,9,99,0.1489621761
2013,2,65,9,99,0.0588015351
2013,1,32,5,40,0.0933907947
2013,2,65,9,99,0.0871466004
2013,1,65,0,40,0.1238460298
2013,1,47,5,40,0.1513001224
2013,2,7,9,99,0.0685615226
2013,1,20,5,40,0.0314439406
2013,1,32,5,40,0.0953419975
2013,1,7,9,99,0.0418340374
2013,1,65,9,99,0.1098257226
2013,1,47,5,18,0.1994504785
2013,2,47,9,99,0.057372983
2013,2,32,5,40,0.0368669963
2013,2,32,5,30,0.113493325
2013,2,32,9,99,0.3710309305
2013,2,32,5,20,0.1153640674
2013,2,32,5,8,0.0985277022
2013,2,32,5,70,0.1796922508
2013,2,32,5,40,0.0538551028
2013,2,32,9,99,0.2891642909
2013,1,47,5,18,0.1907999039
2013,1,20,9,99,0.1707511244
2013,2,65,9,99,0.2595114314
2013,1,65,5,36,0.1506591056
2013,1,7,9,99,0.2184449719
2013,1,20,9,99,0.1509368091
2013,1,65,5,36,0.1110212497
2013,1,47,5,40,0.1167599231
2013,2,20,9,99,0.1591124915
2013,1,20,5,40,0.2076961434
2013,1,32,5,36,0.0394013016
2013,1,65,5,40,0.2152986242
2013,2,7,9,99,0.1325306514
2013,2,20,9,99,0.1316642672
2013,2,32,9,99,0.3652478625
2013,2,20,9,99,0.1107185154
